year,month,hero,role,ability,change,is_nerf,is_buff,skins,days_since_release
2024,February,roadhog,tank,Take a Breather,Damage reduction increased from 40 to 50%.,0,1,,
2024,February,dva,tank,Light Gun,Base projectile size reduced from 0.25 to 0.2 meters. Total projectile size is now 0.3 meters.,1,0,,
2024,March,lifeweaver,support,Heal Blossom,Maximum heal amount increased from 70 to 80.,0,1,,
2024,March,lifeweaver,support,Heal Blossom,Maximum charge time increased from 1 to 1.15 second.,0,1,,
2024,March,illari,support,Solar Rifle,Primary fire recovery time reduced from 0.3 to 0.2 second.,0,1,,
2024,March,illari,support,Solar Rifle,Maximum charge time reduced from 0.7 to 0.65 second.,0,1,,
2024,March,brigitte,support,Repair Pack,Cooldown reduced from 6 to 5 second,0,1,,
2024,March,brigitte,support,Rally,Cost reduced 8%,0,1,,
2024,March,baptiste,support,Immortality Field,Minimum health threshold decreased from 25% to 20%,0,1,,
2024,March,ana,support,Biotic Grenade,Explosion damage and healing increased from 60 to 90,0,1,,
2024,March,torbjorn,damage,Deploy Turret,Turret damage increased from 11 to 13.,0,1,,
2024,March,symmetra,damage,Photon Projector,"Primary fire damage per second increased from 60 to 65, scaling with each stage. The new maximum damage per second is 195.",0,1,,
2024,March,symmetra,damage,Sentry Turret,Health increased from 30 to 50.,0,1,,
2024,March,symmetra,damage,Sentry Turret,Damage per secondincreased from 25 to 30.,0,1,,
2024,March,symmetra,damage,Teleporter,Health increased from 50 to 100.,0,1,,
2024,March,symmetra,damage,Teleporter,Shields increased from 150 to 200.,0,1,,
2024,March,sombra,damage,Virus,Impact damage increased from 10 to 25.,0,1,,
2024,March,sombra,damage,EMP,Ultimate cost reduced by 8%.,0,1,,
2024,March,reaper,damage,Death Blossom,Damage per secondincreased from 170 to 185.,0,1,,
2024,March,reaper,damage,Death Blossom,Ultimate cost decreased by 12%.,0,1,,
2024,March,mei,damage,Endothermic Blaster,Ammo increased from 120 to 140.,0,1,,
2024,March,mei,damage,Cryofreeze,Heal per secondincreased from 50 to 62.5.,0,1,,
2024,March,roadhog,tank,Chain Hook,The enemy final position distance from Roadhog after being pulled decreased from 4 to 3 meters.,0,1,,
2024,March,roadhog,tank,Pig Pen,Vertical knockback on activation decreased by 43%,1,0,,
2024,March,reinhardt,tank,hit_points,Armor increased from 275 to 300.,0,1,,
2024,March,reinhardt,tank,Fire Strike,Damage increased from 100 to 120.,0,1,,
2024,March,ramattra,tank,Ravenous Vortex,Total damage increased from 45 to 70.,0,1,,
2024,March,ramattra,tank,Ravenous Vortex,Cooldown decreased from 12 to 11 second.,0,1,,
2024,March,orisa,tank,Terra Surge,Charge rate for the first 2.5 second increased by 25%.,0,1,,
2024,March,mauga,tank,Overrun,Stomp damage increased from 45 to 60.,0,1,,
2024,March,mauga,tank,Cardiac Overdrive,Duration reduced from 5 to 4 second.,1,0,,
2024,March,mauga,tank,Cardiac Overdrive,Cooldown reduced from 12 to 10 second.,0,1,,
2024,March,mauga,tank,Cardiac Overdrive,Now fills his passive overhealth by 100.,0,1,,
2024,March,doomfist,tank,Meteor Strike,Minimum damage increased from 15 to 50.,0,1,,
2024,March,symmetra,damage,Photon Projector,"Primary fire damage per second decreased from 65 to 60, scaling with all levels. Maximum damage per secondis 180.",1,0,,
2024,March,symmetra,damage,Sentry Turret,Health decreased from 50 to 40.,1,0,,
2024,March,sombra,damage,EMP,Ultimate cost increased by 8%,1,0,,
2024,March,mauga,tank,hit_points,Base Health decreased from 400 to 375.,1,0,,
2024,March,mauga,tank,Cardiac Overdrive,No longer fills overhealth on activation.,1,0,,
2024,March,mauga,tank,Cardiac Overdrive,Duration increased from 4 to 5 second.,0,1,,
2024,March,mauga,tank,Cardiac Overdrive,Cooldown increased from 10 to 12 second.,1,0,,
2024,April,zenyatta,support,Orb of Destruction,Ammo increased from 25 to 32.,0,1,,
2024,April,zenyatta,support,Orb of Destruction,Secondary Fire charge time per projectile decreased from .52 to .47.,0,1,,
2024,April,zenyatta,support,Orb of Destruction,Secondary Fire projectiles fire 33% faster.,0,1,,
2024,April,zenyatta,support,Orb of Destruction,Secondary Fire damage decreased by 30%.,0,1,,
2024,April,zenyatta,support,Orb of Destruction,You can now charge up to 8 Orbs with Secondary Fire.,0,1,,
2024,April,zenyatta,support,Orb of Destruction,Zenyatta’s accelerates upward while charging Secondary Fire.,0,1,,
2024,April,mercy,support,Caduceus Staff,Damage boost from Secondary Fire removed.,1,0,,
2024,April,mercy,support,Caduceus Staff,Secondary Fire is now Damage Staff. (Ability 2 on Controller.),1,0,,
2024,April,mercy,support,Caduceus Staff,Damage Staff Fires Caduceus Blaster projectiles.,0,1,,
2024,April,mercy,support,Caduceus Staff,Projectiles have a smaller size.,1,0,,
2024,April,mercy,support,Caduceus Staff,Size gets bigger during ult.,1,0,,
2024,April,mercy,support,Caduceus Staff,2 more damage.,0,1,,
2024,April,mercy,support,Caduceus Staff,Projectiles reload automatically while not firing.,0,1,,
2024,April,mercy,support,Caduceus Staff,Projectiles reload at twice the speed while healing or after 4 second without firing.,1,0,,
2024,April,mercy,support,Caduceus Staff,Can fire projectiles at a reduced firing speed if healing beam is active.,0,1,,
2024,April,mercy,support,Caduceus Staff,Healing beam can heal at a reduced rate if Damage Staff is active.,0,1,,
2024,April,mercy,support,Caduceus Blaster,Removed from Game,1,0,,
2024,April,lucio,support,Sonic Amplifier,Ammo increased from 20 to 30.,0,1,,
2024,April,lucio,support,Sonic Amplifier,Recovery decreased from .14 second per bullet to .125 second per bullet.,1,0,,
2024,April,lucio,support,Sonic Amplifier,Now Shoots 3 bullets per volley during Speed Boost and 5 bullets per volley during Healing Boost.,0,1,,
2024,April,lucio,support,Sound Barrier,Knocks up enemies the sound waves hit.,0,1,,
2024,April,lifeweaver,support,Petal Platform,Now raises 20m (up from 8m).,0,1,,
2024,April,kiriko,support,Protection Suzu,"Now also grants allies a 10% damage boost, 10% healing boost, 50% movement speed boost, and 700% increased jump height.",0,1,,
2024,April,kiriko,support,Protection Suzu,Increased duration from .65 to 1 second.,0,1,,
2024,April,kiriko,support,Vulpine Agility,New Passive,0,1,,
2024,April,kiriko,support,Vulpine Agility,Kiriko can jump an extra time in the air,0,1,,
2024,April,illari,support,Captive Sun,"After using Captive Sun, Illari becomes Solar Installed. She moves faster and charges her Solar Rifle Faster, her rifle always charges to full damage power.",0,1,,
2024,April,illari,support,Captive Sun,Movement speed bonus 1.2x.,0,1,,
2024,April,illari,support,Captive Sun,Attack charge time reduced by 40%.,0,1,,
2024,April,illari,support,Captive Sun,Healing recharge bonus 1.2x.,0,1,,
2024,April,illari,support,Solar Powered,New Passive.,0,1,,
2024,April,illari,support,Solar Powered,Illari is always Solar Installed when the sun is out.,0,1,,
2024,April,brigitte,support,hit_points,Armor increased from 50 to 150,0,1,,
2024,April,brigitte,support,Shield Barrier,Health increased from 250 to 700.,0,1,,
2024,April,brigitte,support,Shield Barrier,Always uses bigger size,0,1,,
2024,April,brigitte,support,Rally,Resets your Shield Bash cooldown.,0,1,,
2024,April,brigitte,support,Raly,Movement Speed bonus increased from 1.15x to 1.3x,0,1,,
2024,April,baptiste,support,Exo-Boots,Now launches you forward rather than upward.,0,1,,
2024,April,baptiste,support,Amplification Matrix,Increases speed of projectiles shot through it by 200%.,0,1,,
2024,April,ana,support,Sleep Dart,Slept enemies slowly rise while Sleeping.,0,1,,
2024,April,ana,support,Sleep Dart,Enemies take fall damage when they land,0,1,,
2024,April,widowmaker,damage,Grappling Hook,Now has 3 charges.,0,1,,
2024,April,widowmaker,damage,Grappling Hook,Getting a critical hit with Widow’s Kiss’s secondary fire replenishes one charge of the ability,0,1,,
2024,April,torbjorn,damage,Deploy Turret,"The turret now sticks to walls, ceilings, and allies",0,1,,
2024,April,symmetra,damage,Teleporter,Only places exit Teleporter.,1,0,,
2024,April,symmetra,damage,Teleporter,Any ally can use Teleporter regardless of their location.,0,1,,
2024,April,symmetra,damage,Teleporter,Teleporter duration decreased from 10 to 4 second.,1,0,,
2024,April,sombra,damage,Virus,"Killing an enemy infected with Virus, it attempts to spread to a nearby enemy.",0,1,,
2024,April,soldier: 76,damage,Heavy Pulse Rifle,Can now be used during Sprint.,0,1,,
2024,April,soldier: 76,damage,Heavy Pulse Rifle,Using Heavy Pulse Rifle while sprinting has a spread of 2,1,0,,
2024,April,sojourn,damage,Disruptor Shot,Disruptor Shot now pulls enemies in on deploy.,0,1,,
2024,April,sojourn,damage,Disruptor Shot,You can deploy Disruptor Shot early by pressing E again,0,1,,
2024,April,reaper,damage,Hellfire Shotguns,Primary Fire now only shoots one shotgun.,1,0,,
2024,April,reaper,damage,Hellfire Shotguns,Damage per bullet reduced from 5.4 to 2.8.,1,0,,
2024,April,reaper,damage,Hellfire Shotguns,Ammo increased from 8 to 16.,0,1,,
2024,April,reaper,damage,Hellfire Shotguns,Secondary Fire now shoots the other shotgun,1,0,,
2024,April,pharah,damage,Jet Land,Ability added to game,0,1,,
2024,April,mei,damage,Avalanche Launch,Ability added to game,0,1,,
2024,April,junkrat,damage,Frag Launcher,You can now detonate Frag Launcher projectiles with Secondary Fire.,0,1,,
2024,April,hanzo,damage,Storm Arrows,Number of ricochets increased from 1 to 3.,0,1,,
2024,April,hanzo,damage,Storm Arrows,Number of projectiles per shot increased from 1 to 5.,0,1,,
2024,April,hanzo,damage,Storm Arrows,Damage of each projectile decreased by 78%,1,0,,
2024,April,genji,damage,Deflect,Press Primary Fire with perfect timing to critically deflect a projectile.,0,1,,
2024,April,echo,damage,Focusing Beam,Targets within 8 meters of Echo take damage as if they’re under half health.,0,1,,
2024,April,echo,damage,Duplicate,Can no longer choose who you duplicate.,1,0,,
2024,April,echo,damage,Duplicate,Can now duplicate allies.,0,1,,
2024,April,echo,damage,Duplicate,Duplicate’s Health no longer capped at 300 health.,0,1,,
2024,April,echo,damage,Duplicate,Duplicate now gains an extra 100 Shields.,0,1,,
2024,April,echo,damage,Duplicate,Bonus Ult Charge Gain Rate increased from 4 to 6.5,0,1,,
2024,April,cassidy,damage,Wanted!,Ability added to game,0,1,,
2024,April,bastion,damage,Configuration: Assault,Movement speed penalty has been removed.,0,1,,
2024,April,bastion,damage,Configuration: Assault,Damage per bullet decreased from 12 to 5.,1,0,,
2024,April,bastion,damage,Configuration: Assault,Now deals 1.5x damage for critical hits.,0,1,,
2024,April,bastion,damage,Reconfigure,Grants a movement speed bonus of 35%,0,1,,
2024,April,bastion,damage,Reconfigure,Configuration: Sentry now fires shotgun blasts,0,1,,
2024,April,ashe,damage,F.R.E.D.,Ability added to game,0,1,,
2024,April,zarya,tank,Particle Barrier,Increases the size of the bubbled target by 1.75x,0,1,,
2024,April,zarya,tank,Projected Barrier,Increases the size of the bubbled target by 1.75x,0,1,,
2024,April,wrecking ball,tank,Quad Cannons,Deals increased damage as you continue to walk sideways.,0,1,,
2024,April,wrecking ball,tank,directional_input,Wrecking Ball’s sideways movement speed increased by 55%.,0,1,,
2024,April,winston,tank,Tesla Cannon,Secondary Fire now chains between enemies.,0,1,,
2024,April,winston,tank,Primal Rage,Punches also cause lightning to chain between enemies.,0,1,,
2024,April,sigma,tank,Accretion,Projectile Speed decreased from 37 to 30.,1,0,,
2024,April,sigma,tank,Accretion,Projectile Gravity decreased from 18 to 2.,1,0,,
2024,April,sigma,tank,Accretion,"Pressing the ability button while Accretion is active will cause the rock to crash into the ground. When crashed, it will deal 50 damage in a 4-meter radius and stun anyone damaged",0,1,,
2024,April,roadhog,tank,Pig Pen,Projectile Speed increased from 26 to 80.,0,1,,
2024,April,roadhog,tank,Pig Pen,Projectile Damage increased from 0 to 40,0,1,,
2024,April,reinhardt,tank,Barrier Field,You can now press Primary Fire to reflects projectiles,0,1,,
2024,April,reinhardt,tank,Barrier Field,Health decreases by 20% every secondwhile reflecting.,1,0,,
2024,April,reinhardt,tank,Barrier Field,Barrier size decreased to 50% while Reflecting,1,0,,
2024,April,ramattra,tank,hit_points,Base armor increased from 100 to 225.,0,1,,
2024,April,ramattra,tank,Annihilation,No longer pauses its duration while dealing damage.,1,0,,
2024,April,ramattra,tank,Annihilation,Movement Speed Increased by 20%.,0,1,,
2024,April,ramattra,tank,Annihilation,Duration increased from 3 to 5 second.,0,1,,
2024,April,ramattra,tank,Annihilation,Damage Per Second Decreased from 30 to 20.,1,0,,
2024,April,ramattra,tank,Annihilation,Radius decreased from 12 to 9 meters,1,0,,
2024,April,ramattra,tank,Nemesis Form,Fully heals Ramattra on use.,0,1,,
2024,April,ramattra,tank,Nemesis Form,Pummel Damage increased from 60 to 75.,0,1,,
2024,April,ramattra,tank,Nemesis Form,Pummel Range has been increased from 10 to 15.,0,1,,
2024,April,orisa,tank,Energy Javelin,Ricochets once.,0,1,,
2024,April,orisa,tank,Energy Javelin,Explodes when it sticks.,0,1,,
2024,April,mauga,tank,hit_points,Health decreased from 350 to 25.,1,0,,
2024,April,mauga,tank,Incendiary Chaingun,Hitting enemies who are ‘On Fire’ will Ignite them.,0,1,,
2024,April,junker queen,tank,Jagged Blade,Pressing Secondary Fire while the ability is active now magnetizes Junker Queen to Gracie.,0,1,,
2024,April,junker queen,tank,Jagged Blade,Cooldown now starts when blade starts returning to Junker Queen.,1,0,,
2024,April,junker queen,tank,Jagged Blade,Cooldown decreased from 6 to 4 second,0,1,,
2024,April,doomfist,tank,Power Block,Power Block and Meteor Strike also empower your next Quick Melee.,0,1,,
2024,April,doomfist,tank,Meteor Strike,Power Block and Meteor Strike also empower your next Quick Melee.,0,1,,
2024,April,doomfist,tank,Power Block,Movement Speed Modifier increased from .65x to 1.25x.,0,1,,
2024,April,dva,tank,Boosters,Can now move backwards.,0,1,,
2024,April,dva,tank,Boosters,Can now be canceled with Crouch.,0,1,,
2024,April,dva,tank,Boosters,Canceling the ability with Crouch in the first .4 second reduces the cooldown to 1.5 second,0,1,,
2024,April,dva,tank,Self-Destruct,Knockback increased by 900%.,0,1,,
2024,April,moira,support,Biotic Grasp,Damage per seconddecreased from 65 to 60.,1,0,,
2024,April,moira,support,Coalescence,Self-heal per secondincreased from 50 to 55.,0,1,,
2024,April,lifeweaver,support,Rejuvenating  Dash,Heal increased from 50 to 60.,0,1,,
2024,April,lifeweaver,support,Tree of Life,Pulse healing increased from 75 to 90.,0,1,,
2024,April,lucio,support,Sonic Amplifier,Damage per projectile decreased from 20 to 18.,1,0,,
2024,April,lucio,support,Soundwave,Damage increased from 35 to 45.,0,1,,
2024,April,illari,support,Solar Rifle,Primary fire recovery increased from 0.2 to 0.25 second.,1,0,,
2024,April,illari,support,Solar Rifle,Secondary fire heal-per-secondincreased from 105 to 115,0,1,,
2024,April,venture,damage,Drill Dash,Impact damage decreased from 60 to 40.,1,0,,
2024,April,venture,damage,Drill Dash,Damage over time increased from 40 to 60,0,1,,
2024,April,venture,damage,Clobber,Impact damage decreased from 40 to 30.,1,0,,
2024,April,venture,damage,Clobber,Damage over time increased from 30 to 40,0,1,,
2024,April,venture,damage,Tectonic Shock,Vertical knockback decreased by 30%.,1,0,,
2024,April,tracer,damage,Recall,Cooldown increased from 12 to 13 second.,1,0,,
2024,April,tracer,damage,Pulse Bomb,Base projectile size decreased from 0.2 to 0.1 meters. The total projectile size is now 0.25 meters,0,1,,
2024,April,sombra,damage,Virus,Total damage over time decreased from 100 to 90.,1,0,,
2024,April,wrecking ball,tank,Grappling Claw,Now has a one secondcooldown if Wrecking Ball never reaches ramming speed before canceling the ability,0,1,,
2024,April,wrecking ball,tank,Grappling Claw,"Hold the jump input while the Grappling Claw is attached to terrain to retract it, pulling yourself towards the anchor point",0,1,,
2024,April,wrecking ball,tank,Grappling Claw,The maximum duration timer no longer triggers unless he reaches ramming speed,1,0,,
2024,April,wrecking ball,tank,Adaptive Shield,"Can now be reactivated to redistribute up to 300 overhealth to nearby allies, capping at 75 per person.",0,1,,
2024,April,wrecking ball,tank,Adaptive Shield,Enemy and ally detection radius increased from 10 to 13 meters.,0,1,,
2024,April,wrecking ball,tank,Minefield,Health increased from 50 to 60.,0,1,,
2024,April,sigma,tank,Experimental Barrier,Movement speed increased from 16.5 to 20 meters per second.,0,1,,
2024,April,reinhardt,tank,Earthshatter,Knockdown duration increased from 2.75 to 3 second.,0,1,,
2024,April,reinhardt,tank,Earthshatter,Shockwave range increased from 20 to 25 meters,0,1,,
2024,April,junker queen,tank,Carnage,Impact damage increased from 90 to 105.,0,1,,
2024,April,doomfist,tank,Rocket Punch,The empowered punch is no longer consumed when the windup is canceled by using Seismic Slam or Power Block.,0,1,,
2024,April,venture,damage,SMART Excavator,Maximum explosion damage decreased from 45 to 40.,1,0,,
2024,April,venture,damage,Drill Dash,Initial impact damage decreased from 40 to 30.,1,0,,
2024,April,venture,damage,Tectonic Shock,Ultimate charge cost increased by 10%.,1,0,,
2024,April,orisa,tank,Fortify,Duration reduced from 4.5 to 3.5 second.,1,0,,
2024,April,orisa,tank,Fortify,Orisa now moves 20% slower while fortified.,1,0,,
2024,April,orisa,tank,Javelin Spin,Cooldown increased from 7 to 9 second.,1,0,,
2024,May,brigitte,support,Rally,Now resets Shield Bash cooldown upon activation.,0,1,,
2024,May,hanzo,damage,Dragonstrike,Speed increased from 12 to 15 meters per second.,0,1,,
2024,May,echo,damage,Duplicate,Ultimate gain multiplier while transformed increased from 4 to 4.5.,0,1,,
2024,May,junkrat,damage,Frag Launcher,Impact damage increased from 40 to 45 (Total damage increased from 120 to 125).,0,1,,
2024,May,zarya,tank,Graviton Surge,Radius increased from 6 to 7 meters.,0,1,,
2024,May,zarya,tank,Graviton Surge,Duration increased from 3.5 to 4 second,0,1,,
2024,May,wrecking ball,tank,Grappling Claw,Impact damage increased from 50 to 60.,0,1,,
2024,May,wrecking ball,tank,Piledriver,Movement lockout duration for enemies increased from 0.5 to 0.75 second,0,1,,
2024,May,wrecking ball,tank,Minefield,Damage increased from 130 to 165.,0,1,,
2024,May,wrecking ball,tank,Minefield,Explosion knockback increased from 5 to 10,0,1,,
2024,May,sigma,tank,Gravitic Flux,No longer requires line of sight to the center of the effect.,0,1,,
2024,May,junker queen,tank,Commanding Shout,Can now be activated while using other abilities.,0,1,,
2024,May,junker queen,tank,Commanding Shout,Cooldown reduced from 14 to 12 second,0,1,,
2024,May,venture,damage,Drill Dash,Cooldown now begins when the ability is used.,0,1,,
2024,May,venture,damage,Drill Dash,Cooldown is no longer decreased by half when used underground.,1,0,,
2024,May,venture,damage,Drill Dash,Cooldown is accelerated by 90% when underground,0,1,,
2024,May,venture,damage,Burrow,Added a 0.2-secondgrace period after the Burrow timer runs out where emerging can still be charged,0,1,,
2024,May,sigma,tank,Gravitic Flux,Gravitic Flux now requires line-of-sight to lift targets again.,1,0,,
2024,May,roadhog,tank,Take a Breather,Resource regeneration rate reduced from 10 to 8 per second.,1,0,,
2024,May,roadhog,tank,Take a Breather,Maximum healing reduced from 450 to 400.,1,0,,
2024,May,roadhog,tank,Take a Breather,Cooldown reduced from 1.5 to 1.25 second,0,1,,
2024,May,roadhog,tank,Whole Hog,Knockback increased from 14 to 16.,0,1,,
2024,May,roadhog,tank,Whole Hog,Damage per pellet reduced from 7 to 6,1,0,,
2024,June,kiriko,support,Swift Step,Cooldown increased from 7 to 8 second.,1,0,,
2024,June,kiriko,support,Protection Suzu,No longer cleanses hard knockdown stuns.,1,0,,
2024,June,illari,support,Outburst,Damage increased from 10 to 25.,0,1,,
2024,June,illari,support,Healing Pylon,Healing per projectile increased from 30 to 40.,0,1,,
2024,June,illari,support,Healing Pylon,Pylon healing is now only half as effective when targeting Illari.,1,0,,
2024,June,illari,support,Healing Pylon,Max health increased from 100 to 125,0,1,,
2024,June,symmetra,damage,hit_points,Base health increased from 100 to 125 (Total health increased from 250 to 275).,0,1,,
2024,June,symmetra,damage,Photon Projector,Primary fire charge rate increased 25%.,0,1,,
2024,June,sojourn,damage,Railgun,Secondary fire damage scaling reduced from 30-130 damage down to 1-100 damage.,1,0,,
2024,June,sojourn,damage,Railgun,Secondary fire projectile no longer requires Overclock to pierce enemy players.,0,1,,
2024,June,sojourn,damage,Railgun,Primary fire shots per secondincreased from 14 to 16,0,1,,
2024,June,sojourn,damage,Overclock,Energy charge rate increased from 100 to 120 per second.,0,1,,
2024,June,reaper,damage,Hellfire Shotguns,Weapon spread reduced from 6.5 to 6 degrees.,0,1,,
2024,June,reaper,damage,Shadow Step,Cast time reduced from 1.5 to 1.2 second.,0,1,,
2024,June,mei,damage,Endothermic Blaster,Secondary fire base projectile size reduced from 0.15 to 0.12 meters.,1,0,,
2024,June,mei,damage,Endothermic Blaster,Secondary fire damage increased from 75 to 85,0,1,,
2024,June,cassidy,damage,Peacekeeper,"Secondary fire ""Fan the Hammer"" damage reduced from 50 to 45.",1,0,,
2024,June,cassidy,damage,Combat Roll,Damage reduction reduced from 75 to 50%.,1,0,,
2024,June,cassidy,damage,Flashbang,Movement speed reduction increased from 30% to 50%.,1,0,,
2024,June,cassidy,damage,Flashbang,Hinder now prevents crouching movement.,0,1,,
2024,June,cassidy,damage,Flashbang,45 explosive damage.,1,0,,
2024,June,cassidy,damage,Deadeye,"Movement speed penalty now scales down over time, from 70% to 35%.",0,1,,
2024,June,cassidy,damage,Deadeye,"Damage reduction now scales down over time, from 40% to 0%",1,0,,
2024,June,roadhog,tank,Take a Breather,Damage reduction reduced from 50 to 40%.,1,0,,
2024,June,roadhog,tank,hit_points,Base health reduced from 650 to 600.,1,0,,
2024,June,orisa,tank,Javelin Spin,Cooldown reduced from 9 to 8 second.,0,1,,
2024,June,junker queen,tank,Jagged Blade,Now pulls tanks fruther,0,1,,
2024,June,junker queen,tank,Rampage,Startup time reduced from 0.75 to 0.5 second,0,1,,
2024,June,dva,tank,Fusion Cannons,Weapon spread reduced from 3.75 to 3.375 degrees.,0,1,,
2024,June,dva,tank,Boosters,Impact damage increased from 15 to 25.,0,1,,
2024,July,zenyatta,support,Trascendence,Ultimate cost decreased 10%.,0,1,,
2024,July,illari,support,Healing Pylon,"Allies no longer see the ""Destroyed"" UI when Healing Pylon breaks.",1,0,,
2024,July,ana,support,Sleep Dart,Duration of effect on Tank heroes decreased from 3.5 to 3 second.,1,0,,
2024,July,pharah,damage,Concussive Blast,Explosion damage reduced from 30 to 0.,1,0,,
2024,July,pharah,damage,Concussive Blast,Explosion knockback radius increased from 6 to 8 meters.,0,1,,
2024,July,pharah,damage,Concussive Blast,Knockback increased by 11%,0,1,,
2024,July,cassidy,damage,Peacekeeper,Primary fire falloff range rescaled from 25-35 meters to 20-30 meters.,1,0,,
2024,July,ashe,damage,B.O.B.,B.O.B. now gains the Tank role passive ability.,0,1,,
2024,July,zarya,tank,Particle Barrier,Health increased from 200 to 225.,0,1,,
2024,July,zarya,tank,Particle Barrier,Duration increased from 2 to 2.5 second,0,1,,
2024,July,zarya,tank,Projected Barrier,Health increased from 200 to 225.,0,1,,
2024,July,zarya,tank,Projected Barrier,Duration increased from 2 to 2.5 second,0,1,,
2024,July,wrecking ball,tank,Quad Cannons,Automatic reload time while transformed reduced from 2 to 1.6 second,0,1,,
2024,July,wrecking ball,tank,Adaptive Shield,Allied Overhealth transfer ratio increased by 50% (Use up to 50 Overhealth per target to grant allies up to 75 HP).,0,1,,
2024,July,winston,tank,Tesla Cannon,Secondary fire charge time reduced from 1 secondto 0.85 second.,0,1,,
2024,July,winston,tank,Primal Rage,Maximum health gained increased from 500 to 700.,0,1,,
2024,July,sigma,tank,Accretion,Impact damage increased from 40 to 80 (120 damage total).,0,1,,
2024,July,roadhog,tank,Pig Pen,Area damage after activating increased from 30 to 45 damage per second.,0,1,,
2024,July,roadhog,tank,Pig Pen,Recovery time reduced from 0.55 to 0.4 second.,0,1,,
2024,July,roadhog,tank,Pig Pen,Cooldown now begins immediately when used instead of after a short delay,0,1,,
2024,July,reinhardt,tank,Barrier Field,Maximum health increased from 1400 to 1600.,0,1,,
2024,July,reinhardt,tank,Barrier Field,Barrier regeneration rate increased from 140 to 160 health per second,0,1,,
2024,July,reinhardt,tank,Charge,Wall impact damage increased from 275 to 300.,0,1,,
2024,July,ramattra,tank,Nemesis Form,Bonus armor increased from 225 to 300.,0,1,,
2024,July,ramattra,tank,Pummel,Pummel damage increased from 60 to 65.,0,1,,
2024,July,orisa,tank,Fortify,Duration increased from 3.5 to 4 second,0,1,,
2024,July,mauga,tank,Overrun,Knockback damage increased from 25 to 30,0,1,,
2024,July,mauga,tank,Overrun,Stomp damage increased from 60 to 75,0,1,,
2024,July,mauga,tank,Cardiac Overdrive,Duration reduced from 5 to 3 second.,1,0,,
2024,July,mauga,tank,Cardiac Overdrive,Lifesteal increased from 60 to 100%.,0,1,,
2024,July,mauga,tank,Cardiac Overdrive,Damage reduction increased from 30 to 40%.,0,1,,
2024,July,mauga,tank,Cardiac Overdrive,Allies now receive only half of the lifesteal and damage reduction effect value,1,0,,
2024,July,junker queen,tank,Commanding Shout,Overhealth increased from 150 to 175 HP,0,1,,
2024,July,junker queen,tank,Adrenaline Rush,Wound damage self-healing multiplier increased from 2 to 2.5x,0,1,,
2024,July,doomfist,tank,The Best Defense...',Overhealth gained per target increased from 35 to 40 HP.,0,1,,
2024,July,doomfist,tank,The Best Defense...',Delay before Overhealth begins to drain increased from 1 to 3 second.,1,0,,
2024,July,dva,tank,Defense Matrix,Maximum duration increased from 3 to 3.5 second.,0,1,,
2024,July,dva,tank,Micro Missiles,Explosion damage increased from 4 to 5.5 damage (from 126 to 153 max damage with direct impacts).,0,1,,
2024,July,lucio,support,Sonic Amplifier,Knockback reduced by 10%,1,0,,
2024,July,illari,support,Healing Pylon,Cooldown increased from 12 to 14 second,1,0,,
2024,July,illari,support,Captive Sun,Ultimate cost increased 12%,1,0,,
2024,July,pharah,damage,hit_points,Base health reduced from 250 to 225,1,0,,
2024,July,zarya,tank,Particle Barrier,Shared cooldown increased from 10 to 11 second.,1,0,,
2024,July,zarya,tank,Particle Barrier,Duration reduced from 2.5 to 2.25 second,1,0,,
2024,July,zarya,tank,Projected Barrier,Shared cooldown increased from 10 to 11 second.,1,0,,
2024,July,zarya,tank,Projected Barrier,Duration reduced from 2.5 to 2.25 second,1,0,,
2024,July,ramattra,tank,Nemesis Form,Cooldown increased from 7 to 8 second.,1,0,,
2024,July,ramattra,tank,Nemesis Form,Base armor reduced from 100 to 75.,1,0,,
2024,July,ramattra,tank,Nemesis Form,Base health reduced from 275 to 250,1,0,,
2024,August,lucio,support,Sonic Amplifier,Primary fire damage increased from 18 to 22.,0,1,,
2024,August,lucio,support,hit_points,Base health reduced from 250 to 225.,1,0,,
2024,August,moira,support,hit_points,Base health reduced from 250 to 225.,1,0,,
2024,August,moira,support,Biotic Grasp,Secondary fire damage increased from 60 to 65 damage per second.,0,1,,
2024,August,mercy,support,hit_points,Base health reduced from 250 to 225.,1,0,,
2024,August,mercy,support,Caduceus Staff,Primary fire healing increased from 55 to 60 health per second.,0,1,,
2024,August,mercy,support,Caduceus Staff,Secondary fire damage boost increased from 25% to 30%,0,1,,
2024,August,lifeweaver,support,Healing Blossom,Healing progress can now charge passively at a reduced rate.,0,1,,
2024,August,lifeweaver,support,Healing Blossom,No longer reduces movement speed when holding a full charge,0,1,,
2024,August,lifeweaver,support,Petal Platform,Duration only counts down while the platform is raised.,1,0,,
2024,August,lifeweaver,support,Petal Platform,Platform now resets if no one is standing on it for 2 second.,0,1,,
2024,August,lifeweaver,support,Petal Platform,Duration increased from 10 to 12 second.,0,1,,
2024,August,lifeweaver,support,Petal Platform,Health reduced from 400 to 300,1,0,,
2024,August,lifeweaver,support,Rejuvenating  Dash,Healing reduced from 60 to 45.,1,0,,
2024,August,kiriko,support,Kunai,Critical multiplier reduced from 2.5 to 2x.,1,0,,
2024,August,kiriko,support,Kunai,Damage increased from 45 to 60.,0,1,,
